from,starting label,QID,label,depth,target
Q21948567,Sunflowers,Q131524,Sunflowers,5,0
Q214867,National Gallery of Art,Q36180,National Gallery of Art,4,0
Q160236,Metropolitan Museum of Art,Q76373354,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q12299841,Metropolitan Museum of Art,4,0
Q104530765,Hugo Nathan,Q723358,Hugo Nathan,3,1
Q26221201,Two Diggers among Trees,Q20730464,Two Diggers among Trees,5,1
Q21948567,Sunflowers,Q205456,Sunflowers,4,0
Q74128,Alfred Flechtheim,Q24022779,Alfred Flechtheim,1,1
Q160236,Metropolitan Museum of Art,Q723358,Metropolitan Museum of Art,3,1
Q17277888,Gottlieb Friedrich Reber,Q12912667,Gottlieb Friedrich Reber,5,0
Q160236,Metropolitan Museum of Art,Q537720,Metropolitan Museum of Art,5,0
Q21948567,Sunflowers,Q28874033,Sunflowers,4,1
Q160236,Metropolitan Museum of Art,Q47309996,Metropolitan Museum of Art,4,1
Q214867,National Gallery of Art,Q214917,National Gallery of Art,3,0
Q5147536,Josef Feinhals,Q15296811,Josef Feinhals,2,0
Q160236,Metropolitan Museum of Art,Q4719071,Metropolitan Museum of Art,3,0
Q74128,Alfred Flechtheim,Q2546745,Alfred Flechtheim,4,1
Q74128,Alfred Flechtheim,Q42882613,Alfred Flechtheim,3,1
Q21948567,Sunflowers,Q333634,Sunflowers,2,0
Q867510,Cypresses,Q82955,Cypresses,3,0
Q55680361,Oskar Reichel,Q372436,Oskar Reichel,5,0
Q156426,Alexej von Jawlensky,Q4114391,Alexej von Jawlensky,3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q2526255,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q160236,Metropolitan Museum of Art,Q66677,Metropolitan Museum of Art,5,1
Q21948567,Sunflowers,Q102441871,Sunflowers,5,1
Q21948567,Sunflowers,Q18223037,Sunflowers,5,1
Q214867,National Gallery of Art,Q20442391,National Gallery of Art,5,1
Q21948567,Sunflowers,Q1960369,Sunflowers,4,1
Q1634926,Hugo Cassirer,Q39631,Hugo Cassirer,5,0
Q160236,Metropolitan Museum of Art,Q67380808,Metropolitan Museum of Art,4,1
Q55680361,Oskar Reichel,Q12306176,Oskar Reichel,4,1
